"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9","Domain","Phylum","Class","Order","Family","Genus"
"Legionella",0.000485436893203883,0.000265787795024452,0.000300292102317709,0.00126827812593256,0.000539083557951483,0.0016256246613282,0.000889679715302491,0.00141388174807198,0.00164290324473391,0.00167710196779964,0.00260747476098148,0.00134443021766965,0.00169887449564663,0.00175746924428822,0.00166293572113847,0.000924214417744917,0.0011277424646299,0.00255619573155887,0.00215809072444144,0.00028515212866064,0.000815967863419533,0.00306882946076282,0,0.000386292147232493,0,0.000518672199170124,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"Lentimicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000303250849102377,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae"
"Limnochordaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438404208680403,0.000303250849102377,0,0,0,"Bacteria","Firmicutes","Limnochordia","Limnochordales","Limnochordaceae","Limnochordaceae"
"LiUU-11-161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000365336840567003,0,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","LiUU-11-161","LiUU-11-161"
"Longivirga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000649192566745111,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","Longivirga"
"Luedemannella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000788452207666181,0,0.000496801838166801,0,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Luedemannella"
"Luteolibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202872677107847,0.00156567366283006,0,0,0.00343416630132983,0.00194080543425522,0,0,0,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"LWQ8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253893026404875,0,0,0,0.000363901018922853,0,0,0,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8"
"Malikia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267791933782358,0.00279282329045362,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Malikia"
"Margulisbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000545851528384279,0,0,0,"Bacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria"
"Massilia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000930941096817874,0.000313667341526704,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"MD3-55",0,0,0,0,0,0,0,0,0,0,0.00060172494484188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae","MD3-55"
"Megamonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243447212529417,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas"
"Methanoregula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000511471576793804,0,0,0,0,"Archaea","Halobacterota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanoregula"
"Methylobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00470664610890205,0.00266587677725119,0.000456243405857025,0.000878734622144112,0.00314189682887622,0.00388161086851043,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter"
"Methylobacterium-Methylorubrum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202872677107847,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"Methylocapsa",0.000377562028047465,0.000584733149053795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocapsa"
"Methyloglobulus",0.00167206040992449,0.012359132468637,0.00840817886489585,0.00775887794688153,0.00734501347708895,0.0010837497742188,0.000523341009001465,0.00096401028277635,0.000821451622366954,0.00111806797853309,0.00207260814334425,0.00428937259923175,0.00198202024492107,0.00421792618629174,0.0104892868564119,0.0103085454286933,0.00404962066844372,0,0,0.000171091277196384,0,0,0,0.00706362783510844,0.000310501148854251,0.00922083909635777,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methyloglobulus"
"Methylotenera",0.00107874865156419,0.000478418031044014,0.000709781332750949,0.000596836765144733,0,0,0,0,0.00657161297893563,0.00637298747763864,0.00120344988968376,0.00358514724711908,0.00212359311955829,0,0,0,0.000768915316793111,0.00848007790310801,0.00727826675693974,0.00114060851464256,0.0073437107707758,0.0127137220517317,0.0189835031538088,0,0.00211140781220891,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera"
"Microcystis_PCC-7914",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000424551188743328,0,0,0,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Microcystis_PCC-7914"
"Micromonospora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137953420433336,0,0,0.000815967863419533,0.00365336840567003,0.00442746239689471,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora"
"Mitochondria",0,0.000159472677014671,0,0,0.000471698113207547,0.000301041603949666,0,0,0.000528076042950185,0,0.00227318312495821,0,0.000778650810504707,0,0,0,0,0.00068976710216668,0.001354096140826,0.000769910747383729,0.0024479035902586,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria"
"mle1-27",0.000242718446601942,0,0,0,0,0,0,0,0.000410725811183477,0,0,0.000512163892445583,0.000424718623911659,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Myxococcota","Polyangia","mle1-27","mle1-27","mle1-27"
"mle1-7",0,0,0,0,0,0,0,0,0.000469400927066831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","mle1-7"
"MND1",0.000458468176914779,0.000451839251541569,0,0,0.00128032345013477,0.000722499849479198,0.000261670504500733,0.00077120822622108,0.000645426274716893,0.000391323792486583,0.00193889148893495,0.00128040973111396,0.00113258299709776,0.000632688927943761,0,0.000426560500497654,0.000307566126717244,0.000568043495901972,0,0,0,0,0,0.00154516858892997,0,0.00028815122176118,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1"
"MWH-Ta3",0.000782092772384035,0,0,0,0,0,0,0,0,0,0,0.00108834827144686,0,0,0,0,0,0.00442262436095107,0.00512017603249831,0.000427728192990961,0,0.00694139997077305,0.00752062105773896,0.000331107554770708,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","MWH-Ta3"
"MWH-UniP1_aquatic_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253893026404875,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","MWH-UniP1_aquatic_group","MWH-UniP1_aquatic_group"
"Mycobacterium",0.00455771305285868,0.000478418031044014,0.000900876306953127,0.00246195165622202,0.00128032345013477,0.00234812451080739,0.00272137324680762,0.00212082262210797,0.000645426274716893,0,0.000869158253660493,0.00633802816901408,0,0,0.00108730412535977,0,0,0.0109145500284022,0.0115944482058226,0.00741395534517665,0.00991714787848355,0.0196551220225047,0.0132217370208637,0.000386292147232493,0,0.000864453665283541,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"NB1-j",0,0,0,0.000373022978215458,0,0,0.000314004605400879,0,0,0,0.00120344988968376,0,0.00120336943441637,0.000773286467486819,0.000319795330988168,0.000639840750746481,0.000410088168956326,0,0,0,0,0,0,0.000717399702003201,0.000745202757250202,0.000403411710465652,"Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j"
"Neochlamydia",0.000296655879180151,0.0014086753136296,0.00182905189593514,0.00678901820352134,0.00566037735849057,0.00668312360768258,0.00481473728281348,0.00032133676092545,0.00269905533063428,0,0.00447950792271177,0.000640204865556978,0,0.0075219683655536,0.00498880716341541,0.00469216550547419,0.00599753947098626,0,0.000550101557210562,0,0,0,0,0.00281441421555102,0.00490591815189716,0.00443752881512218,"Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia"
"Nitrosomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068976710216668,0.00249661475964794,0,0,0.00102294315358761,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosomonas"
"Nitrosospira",0.000539374325782093,0,0,0,0,0.000541874887109399,0,0.00057840616966581,0.0007627765064836,0,0,0.00153649167733675,0.00120336943441637,0,0,0,0,0,0,0,0,0,0,0,0.000621002297708502,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosospira"
"Nitrospira",0.00822545846817692,0.060945141399107,0.0730528787092899,0.0153685467024769,0.0283018867924528,0.0273345776386297,0.0223466610843626,0.0200514138817481,0.0135539517690547,0.0133609123434705,0.0236009895032426,0.0127400768245839,0.0244213208749204,0.0150439367311072,0.043108410617205,0.0557372387316934,0.0355238876358417,0.000365170818794125,0.000550101557210562,0,0,0,0,0.0380221842061696,0.0214245792709433,0.0184416781927155,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"Nocardia",0,0,0,0,0,0,0,0,0.00451798392301825,0,0,0,0,0,0,0,0,0,0.000211577522004062,0,0,0.000584538944907204,0.000424551188743328,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"Nocardioides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296208530805687,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"Nonomuraea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000446319889637264,0.00050778605280975,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea"
"Novosphingobium",0.0064185544768069,0.00191367212417606,0.00174715404984849,0.00335720680393912,0,0.00319104100186646,0.00397739166841114,0.00282776349614396,0.00780379041248606,0.00536672629695885,0.00468008290432573,0.00659411011523688,0.00283145749274439,0.00175746924428822,0.00223856731691717,0.00142186833499218,0.00199917982366209,0.00279964294408829,0.00478165199729181,0.000342182554392769,0,0,0,0.00171072236631532,0.00409861516487611,0.00628169663439373,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"NS11-12_marine_group",0.000431499460625674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000973788850117666,0.000423155044008125,0.00336479511819556,0.00357770524730103,0.00650299576209265,0.00424551188743328,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
