"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9","Domain","Phylum","Class","Order","Family"
"Chthonomonadales",0.00266990291262136,0.000159472677014671,0.000191094974202178,0.000969859743360191,0,0.000481666566319465,0.000942013816202638,0,0,0.000670840787119857,0.00260747476098148,0.00710627400768246,0.00205280668223968,0.00274165202108963,0.00179085385353374,0.000426560500497654,0.00102522042239081,0,0,0,0,0,0,0.00126924562662105,0.0013662050549587,0.000403411710465652,"Bacteria","Armatimonadota","Chthonomonadetes","Chthonomonadales","Chthonomonadales"
"Clade_III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245230830648151,0.00583730856138589,0.000657606313020605,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_III"
"Clostridiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000608618031323541,0.000465470548408937,0,0,0,0.000970402717127608,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"Comamonadaceae",0.0707389428263215,0.00725600680416755,0.00529606071360323,0.00932557445538645,0.0115229110512129,0.0138479137816846,0.0122461796106343,0.017159383033419,0.0121457489878543,0.0101185152057245,0.00936016580865147,0.0608834827144686,0.0115381892829334,0.010896309314587,0.00332587144227694,0.00547419308971989,0.0120976009842116,0.198368903676053,0.198840555179418,0.224500270894522,0.145807180517198,0.131959666812801,0.162481804949054,0.0113128414546659,0.0153387567534,0.00570539419087137,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae"
"Competibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000324596283372555,0,0,0,0.000584538944907204,0.000363901018922853,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Competibacterales","Competibacteraceae"
"Coriobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000424551188743328,0,0,0,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae"
"Corynebacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000324596283372555,0.000296208530805687,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae"
"Coxiellaceae",0,0,0,0,0,0,0,0,0.000469400927066831,0.000279516994633274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae"
"Crocinitomicaceae",0,0.000132893897512226,0,0,0,0,0,0,0,0,0.000735441599251187,0.000640204865556978,0,0,0,0,0,0.00275906840866672,0.003385240352065,0.000256636915794576,0,0.00431097471869063,0.0061863173216885,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae"
"cvE6",0,0,0,0,0,0,0,0,0,0,0,0.000640204865556978,0,0,0,0,0,0.00109551245638237,0.002031144211239,0,0,0.000584538944907204,0.00115235322658903,0,0,0,"Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6"
