"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9","Domain","Phylum","Class","Order","Family"
"Rhodobacteraceae",0.00145631067961165,0.000159472677014671,0,0,0.000673854447439353,0,0.00109901611890308,0,0,0.000782647584973166,0,0.0028809218950064,0.000424718623911659,0,0,0,0,0.0216262273796965,0.0189996614759648,0.000741395534517665,0.00138086869194075,0.0200204588630718,0.0225012130033964,0.000717399702003201,0,0.000461041954817888,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae"
"Rhodocyclaceae",0.00396440129449838,0.00321603231979587,0.00270262892085938,0.00119367353028947,0.00855795148247978,0.00541874887109399,0.00235503454050659,0.00931876606683805,0.00792114064425277,0.00486359570661896,0.00621782443003276,0.00524967989756722,0.00382246761520493,0.00681898066783831,0.00473297089862488,0.00440779183847576,0.00507484109083453,0.0083583542968433,0.0112559241706161,0.000598819470187345,0.000815967863419533,0.00445710945491743,0.00909752547307132,0.00711881242757022,0.00471961746258461,0.00593591516828031,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae"
"Rhodomicrobiaceae",0.000296655879180151,0.00396023814586434,0.00253883322868609,0,0.00633423180592992,0.00505749894635439,0.00481473728281348,0.00475578406169666,0,0,0,0,0,0.00407732864674868,0,0,0.00497231904859545,0,0,0,0,0,0,0.00618067435571988,0.00391231447556356,0.00501383125864454,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae"
"Rhodospirillaceae",0.000269687162891046,0,0,0,0,0,0,0.00038560411311054,0.000469400927066831,0,0,0.000384122919334187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae"
"Rickettsiaceae",0,0.000132893897512226,0,0,0,0,0,0,0,0.000335420393559928,0,0.00057618437900128,0,0,0,0,0,0.000811490708431388,0,8.55456385981921e-05,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae"
"Roseiflexaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000811490708431388,0.000719363574813812,0,0,0.00109601052170101,0.00121300339640951,0,0,0,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae"
"Rubinisphaeraceae",0.00531283710895361,0.000132893897512226,0.000573284922606535,0.00253655625186511,0.00121293800539084,0.000662291528689265,0.00287837554950806,0.0032133676092545,0,0.000279516994633274,0.00187203316173029,0.0029449423815621,0.0021943795568769,0.00203866432337434,0.00147105852254557,0,0.0011277424646299,0,0,0,0,0,0,0.00297996799293637,0.00534061976029311,0.00103734439834025,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae"
"Rubritaleaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202872677107847,0.00156567366283006,0,0,0.00343416630132983,0.00194080543425522,0,0,0,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae"
"S085",0.000889967637540453,0.00457155007442058,0.00354890666375474,0.000671441360787825,0.00714285714285714,0.00818833162743091,0.00115135021980322,0.0083547557840617,0.00111482720178372,0.00212432915921288,0.00260747476098148,0.00371318822023047,0.00297303036738161,0.00878734622144113,0.00818676047329709,0.0063273140907152,0.00548492925979085,0,0,0,0,0,0,0.00656696650295238,0.00614792274731416,0.00685799907791609,"Bacteria","Chloroflexi","Dehalococcoidia","S085","S085"
"Saccharimonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000568043495901972,0.000380839539607312,0,0,0,0.000606501698204755,0,0,0,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae"
"Sandaracinaceae",0,7.97363385073357e-05,5.45985640577653e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae"
"Saprospiraceae",0.00145631067961165,0.000292366574526898,0,0.000596836765144733,0.000606469002695418,0.000421458245529532,0.000261670504500733,0.00109254498714653,0.00463533415478496,0.00273926654740608,0.00147088319850237,0.00275288092189501,0.00169887449564663,0.000984182776801406,0,0.000782027584245699,0.000358827147836785,0,0,0,0,0,0.000363901018922853,0.000938138071850339,0.00180090666335465,0,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae"
"SBR1031",0,0.00159472677014671,0.00109197128115531,0.00283497463443748,0.00121293800539084,0.00523812390872419,0.00387272346661084,0.00488431876606684,0.00445930880713489,0.00391323792486583,0.0030086247242094,0,0.00552134211085156,0,0,0,0.000512610211195407,0,0,0,0,0,0,0.00369736769493957,0.00223560827175061,0.00605117565698479,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031"
"SC-I-84",0.00533980582524272,0.00829257920476292,0.00906336163358904,0.0101462250074605,0.00822102425876011,0.00740562345716178,0.00481473728281348,0.00848329048843188,0.0126151499149211,0.00916815742397138,0.00234004145216287,0.00371318822023047,0.00283145749274439,0.00773286467486819,0.00211064918452191,0.00270154983648514,0.00763789214681156,0.0068976710216668,0.00727826675693974,0,0.000753201104694954,0.0122022504749379,0.0105531295487627,0.0097124882732741,0.00738992734273117,0.00461041954817888,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84"
"Schlesneriaceae",0.000485436893203883,0,0,0.000522232169501641,0.00148247978436658,0,0.00109901611890308,0.00096401028277635,0.00129085254943379,0.000391323792486583,0.00240689977936752,0.00147247119078105,0.000849437247823317,0,0.000831467860569236,0.000426560500497654,0.000256305105597704,0,0,0,0,0,0,0.000662215109541416,0.0018630068931255,0.000864453665283541,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae"
"Selenomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243447212529417,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae"
"Silvanigrellaceae",0.00204962243797195,0,0,0,0,0,0,0.0006426735218509,0,0,0,0.00275288092189501,0,0,0,0,0,0.00312423922746085,0.00156567366283006,0.00416322107844535,0.00652774290735626,0.000365336840567003,0.000424551188743328,0,0,0,"Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae"
"Simkaniaceae",0.000134843581445523,0.000425260472039124,0.000900876306953127,0.00417785735601313,0.0043800539083558,0.00288999939791679,0.00334938245760938,0.00340616966580977,0,0,0.00488065788593969,0.000320102432778489,0.00254831174346995,0.0021792618629174,0.00159897665494084,0,0.00271683411933566,0.00150125781059807,0.00245429925524712,0,0,0.00146134736226801,0.00115235322658903,0.00154516858892997,0.00453331677327206,0.00328492392807746,"Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae"
"SL56_marine_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271849387324515,0.00211577522004062,0,0.000376600552347477,0.00189975157094841,0.00369966035904901,0,0,0,"Bacteria","Chloroflexi","SL56_marine_group","SL56_marine_group","SL56_marine_group"
"SM1A07",0,0.000797363385073357,0.000464087794491005,0.00149209191286183,0.00148247978436658,0.00138479137816846,0.00120368432070337,0,0,0,0.00240689977936752,0,0.0014865151836908,0.00196836555360281,0.00166293572113847,0.0031281103369828,0.00158909165470576,0,0,0,0,0,0,0.00104850725677391,0.00267030988014656,0.000461041954817888,"Bacteria","Bacteroidota","Bacteroidia","SM1A07","SM1A07"
"Solibacteraceae",0,0,0,0.000522232169501641,0,0.000301041603949666,0,0,0,0,0,0,0,0,0.000511672529581068,0.000782027584245699,0.000410088168956326,0,0,0,0,0,0,0,0,0.000403411710465652,"Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae"
"Sphingobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000527468960480402,0,0,0,0.00124214525792781,0,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae"
"Sphingomonadaceae",0.0150215749730313,0.00853178822028492,0.00906336163358904,0.00910176066845718,0.00222371967654987,0.0100547895719188,0.0150722210592422,0.00636246786632391,0.0203602652115238,0.0161560822898032,0.0141071070401819,0.0191421254801536,0.0191123380760246,0.00801405975395431,0.00441317556763671,0.00199061566898905,0.00825302440024605,0.0128215531932159,0.0147681110358835,0.00136873021757107,0.000439367311072056,0.00737980417945346,0.00727802037845706,0.00833287346172949,0.00888033285723157,0.0127362840018442,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"Spirosomaceae",0.00229234088457389,0,0,0,0,0,0,0,0,0,0,0.00467349551856594,0,0,0,0,0,0.00381400632962753,0.00478165199729181,0.0612506772363056,0.0389153904092393,0.0129329241560719,0.00921882581271228,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae"
"Spongiibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00223159944818632,0.00122714962762356,0,0.000313833793622897,0.000876808417360807,0.00121300339640951,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae"
"Sporichthyaceae",0.164104638619202,0.0066978524346162,0.00155605907564631,0.00216353327364966,0.00997304582210243,0.00132458305737853,0.012507850115135,0.0177377892030848,0.0146687789708385,0.0144789803220036,0.0106973323527445,0.0802816901408451,0.011962907906845,0,0.00422129836904381,0.00334139058723162,0.00071765429567357,0.299277773269496,0.286052809749492,0.27522883458325,0.203113231232739,0.216644746456233,0.172367782629791,0.00446995198940456,0.0190026703098801,0.0100852927616413,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae"
"Steroidobacteraceae",0.00035059331175836,0.000425260472039124,0.000491387076519888,0,0.000876010781671159,0.00150520801974833,0.00272137324680762,0.00314910025706941,0.00404858299595142,0.00313059033989267,0.00127030821688841,0.000512163892445583,0.00169887449564663,0.00260105448154657,0.00204669011832427,0.00305701692023319,0.00128152552798852,0.0025156211961373,0.000634732566012187,0,0,0,0,0.00132443021908283,0.00117990436564615,0.000633932687874597,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae"
"Streptococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"Streptomycetaceae",0.000377562028047465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00495009332143147,0.00706668923493568,0.00028515212866064,0,0.0211895367528862,0.0061863173216885,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae"
"Streptosporangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000446319889637264,0.00050778605280975,0,0,0,0.000303250849102377,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae"
"Subgroup_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000256305105597704,0,0,0,0,0,0,0,0,0.000518672199170124,"Bacteria","Acidobacteriota","Subgroup_11","Subgroup_11","Subgroup_11"
"Subgroup_17",0,0,0,0,0,0,0,0,0,0,0,0.000320102432778489,0,0,0,0,0,0,0.000423155044008125,0,0,0,0.000727802037845706,0,0,0,"Bacteria","Acidobacteriota","Vicinamibacteria","Subgroup_17","Subgroup_17"
"Subgroup_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243447212529417,0,0,0,0,0,0,0,0,"Bacteria","Acidobacteriota","Subgroup_18","Subgroup_18","Subgroup_18"
"Subgroup_2",0,0,0,0,0,0,0,0.00032133676092545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Subgroup_2"
"Subgroup_7",0.00102481121898598,0.00100999362109292,0.000382189948404357,0.00111906893464637,0.00134770889487871,0.001806249623698,0.00167469122880469,0.00173521850899743,0,0,0.00147088319850237,0.00166453265044814,0.00261909818078856,0.00133567662565905,0.0013431403901503,0.00106640125124413,0.000973959401271273,0,0.000253893026404875,0,0,0,0,0.00137961481154462,0.00130410482518785,0.00184416781927155,"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7"
"Sutterellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000933214314696097,0.000677048070412999,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae"
"Symbiobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000365336840567003,0,0,0,0,"Bacteria","Firmicutes","Symbiobacteriia","Symbiobacteriales","Symbiobacteraceae"
"Syntrophaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253893026404875,0,0,0,0,0,0,0,"Bacteria","Desulfobacterota","Syntrophia","Syntrophales","Syntrophaceae"
"T34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171091277196384,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","T34"
"Terrimicrobiaceae",0,0,0,0,0.000336927223719677,0,0.000261670504500733,0,0,0,0,0,0,0,0,0,0,0.000243447212529417,0.000380839539607312,0,0,0,0,0,0,0,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae"
"Thermoactinomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194080543425522,0,0,0,"Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae"
"Thermoanaerobaculaceae",0,0,0,0.00044762757385855,0,0,0,0,0,0.000279516994633274,0,0,0,0,0,0,0,0,0.000211577522004062,0,0,0,0,0,0,0,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae"
"Thermomonosporaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204588630717522,0.00260795730228045,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae"
"Thiotrichaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000211577522004062,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae"
"TK10",0,0.000159472677014671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Chloroflexi","TK10","TK10","TK10"
"TRA3-20",0.00342502696871629,0.00624601318307463,0.00657912696896072,0.00716204118173679,0.00990566037735849,0.00830874826901078,0.00293070965040821,0.00719794344473008,0.00668896321070234,0.00301878354203936,0.00768870762853513,0.00518565941101152,0.0134494230905359,0.00471001757469244,0.00217460825071954,0.0015640551684914,0.0057924953865081,0.00247504666071574,0.00351218686526743,0.00513273831589153,0.00533517449158925,0.00957182522285547,0.00485201358563804,0.00435958280448099,0.0116748431969198,0.00121023513139696,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20"
"uncultured",0.0217098166127292,0.0355358281947693,0.0340968032540744,0.0489406147418681,0.0368598382749326,0.0590643626949244,0.0520724303956458,0.0424807197943445,0.0548612333509359,0.0304673524150268,0.0294176639700475,0.0340588988476312,0.0276774969915764,0.0445694200351494,0.0700351774864087,0.0615668989051614,0.0533114619643223,0.0112391463117747,0.00803994583615437,0.00145427585616927,0.00307557117750439,0.0344877977495251,0.0341460456089277,0.0424369516031124,0.0581879152952866,0.0540571692023974,"Bacteria","Armatimonadota","uncultured","uncultured","uncultured"
"Unknown",0.119795037756203,0.220896236444822,0.257350331686277,0.248134885108923,0.16300539083558,0.182852670239027,0.151402553904124,0.149293059125964,0.183535762483131,0.24815518783542,0.193956007220699,0.13854033290653,0.180717774474411,0.240351493848858,0.197249760153502,0.191241291056448,0.227445150707402,0.0184208390813925,0.016926201760325,0.00655849895919473,0.0129299522972634,0.0317843051293292,0.0342066957787482,0.170520390706915,0.16506241073092,0.170009220839096,"Unassigned",NA,NA,NA,"Unknown"
"Unknown_Family",0.00142934196332255,0.00100999362109292,0.0014195626655019,0.00343181139958221,0.00215633423180593,0.00319104100186646,0.00366338706301026,0.00224935732647815,0.00586751158833539,0.00268336314847943,0,0.00160051216389245,0.00169887449564663,0.00147627416520211,0.00223856731691717,0.00191952225223944,0.00102522042239081,0,0.0003385240352065,0,0,0,0,0.00402847524971028,0.0019872073526672,0.00213231904103273,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family"
"URHD0088",0,0,0,0,0,0,0,0,0,0.000782647584973166,0,0,0.000353932186593049,0.000421792618629174,0.000319795330988168,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","URHD0088"
"Veillonellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae"
"Vermiphilaceae",0,0.000212630236019562,0,0.00104446433900328,0,0,0,0,0,0,0.00193889148893495,0,0.0036101083032491,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae"
"Verrucomicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,0.00057618437900128,0,0,0,0,0,0.00632962752576483,0.00820920785375762,0,0.000502134069796636,0.0177553704515563,0.0169213973799127,0,0,0,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae"
"Vicinamibacteraceae",0.00339805825242718,0.00433234105889858,0.00406759302230351,0.00843031930766935,0.0154986522911051,0.00842916491059064,0.0052857441909148,0.0111825192802057,0.0110895969019539,0.0111247763864043,0.00982817409908404,0.00518565941101152,0.005804487860126,0.00456942003514938,0.00466901183242725,0.00696715484146168,0.00840680746360467,0.000324596283372555,0.000211577522004062,0,0,0,0.000970402717127608,0.00458032117432813,0.00968763584425262,0.00530198248040572,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae"
"WD260",0.00434196332254585,0.0174356793536041,0.0249515437743987,0.0180543121456282,0.00599730458221024,0.00626166536215305,0.00826878794222315,0.0077120822622108,0.0067476383265857,0.00335420393559928,0.0030086247242094,0.00480153649167734,0.00247752530615134,0.0112478031634446,0.0145826670930604,0.0189819422721456,0.0109698585195817,0.000243447212529417,0,0.000171091277196384,0,0,0,0.0028695988080128,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","WD260","WD260"
"WPS-2",0,0,0,0,0,0,0,0,0,0,0,0,0.000424718623911659,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","WPS-2","WPS-2","WPS-2","WPS-2"
"Xanthobacteraceae",0.00439590075512406,0.0184722517541994,0.0219759220332505,0.00902715607281409,0.0160377358490566,0.0102354145342886,0.0067510990161189,0.00989717223650386,0.00616088716775216,0.0112924865831843,0.0183860399812797,0.0028169014084507,0.0138741417144475,0.015817223198594,0.0338983050847458,0.0272287786151002,0.0278347344679106,0.000892639779274527,0,0.000171091277196384,0,0,0.00206210577389617,0.0130235638209812,0.0223560827175061,0.0160788381742739,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae"
"Xanthomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000446319889637264,0.000423155044008125,0,0,0,0.000667151868025231,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae"
"Xiphinematobacteraceae",0.000161812297734628,0,0.000163795692173296,0.00044762757385855,0,0,0,0,0,0,0.000534866617637227,0.00057618437900128,0.000353932186593049,0,0.000447713463383435,0.000497653917247263,0,0.000446319889637264,0,0,0.000502134069796636,0,0,0.000386292147232493,0,0.000461041954817888,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae"
"Zavarziniaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000973788850117666,0.000634732566012187,0,0,0,0.000727802037845706,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Zavarziniales","Zavarziniaceae"
