"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif","metric"
"96","AA","DAF_Sludge","RGF2",0,107.060326569989,-104.230461365366,318.351114505344,0.71,"ns","Inv_Simpson"
"97","AA","DAF_Sludge","RGF3",0,58.1018118186988,-153.188976116656,269.392599754054,0.993,"ns","Inv_Simpson"
"98","AA","DAF_Sludge","RGF4",0,153.007627418124,-58.2831605172306,364.298415353479,0.272,"ns","Inv_Simpson"
"99","AA","DAF_Sludge","RGF5",0,165.919971678102,-45.3708162572527,377.210759613457,0.192,"ns","Inv_Simpson"
"100","AA","DAF_Sludge","RGF6",0,140.137122437503,-71.1536654978516,351.427910372858,0.374,"ns","Inv_Simpson"
"101","AA","DAF_Sludge","RGF7",0,74.2619487787512,-137.028839156604,285.552736714106,0.956,"ns","Inv_Simpson"
"102","AA","Raw_Water","RGF1",0,88.8585033643869,-122.432284570968,300.149291299742,0.875,"ns","Inv_Simpson"
"103","AA","Raw_Water","RGF1B_1L_Matrix",0,43.9722903996941,-167.318497535661,255.263078335049,0.999,"ns","Inv_Simpson"
"104","AA","Raw_Water","RGF1B_Matrix",0,17.1951261310251,-194.09566180433,228.48591406638,1,"ns","Inv_Simpson"
"105","AA","Raw_Water","RGF1B_Water",0,84.8439148582283,-126.446873077127,296.134702793583,0.903,"ns","Inv_Simpson"
"106","AA","Raw_Water","RGF2",0,38.8399351934574,-172.450852741898,250.130723128812,1,"ns","Inv_Simpson"
"107","AA","Raw_Water","RGF3",0,-10.1185795578329,-221.409367493188,201.172208377522,1,"ns","Inv_Simpson"
"108","AA","Raw_Water","RGF4",0,84.7872360415928,-126.503551893762,296.078023976948,0.903,"ns","Inv_Simpson"
"109","AA","Raw_Water","RGF5",0,97.6995803015706,-113.591207633784,308.990368236926,0.802,"ns","Inv_Simpson"
"110","AA","Raw_Water","RGF6",0,71.9167310609718,-139.374056874383,283.207518996327,0.965,"ns","Inv_Simpson"
"111","AA","Raw_Water","RGF7",0,6.04155740221958,-205.249230533135,217.332345337575,1,"ns","Inv_Simpson"
"112","AA","RGF1","RGF1B_1L_Matrix",0,-44.8862129646928,-256.177000900048,166.404574970662,0.999,"ns","Inv_Simpson"
"113","AA","RGF1","RGF1B_Matrix",0,-71.6633772333619,-282.954165168717,139.627410701993,0.966,"ns","Inv_Simpson"
"114","AA","RGF1","RGF1B_Water",0,-4.01458850615862,-215.305376441514,207.276199429196,1,"ns","Inv_Simpson"
"115","AA","RGF1","RGF2",0,-50.0185681709296,-261.309356106285,161.272219764425,0.998,"ns","Inv_Simpson"
"116","AA","RGF1","RGF3",0,-98.9770829222198,-310.267870857575,112.313705013135,0.79,"ns","Inv_Simpson"
"117","AA","RGF1","RGF4",0,-4.07126732279417,-215.362055258149,207.219520612561,1,"ns","Inv_Simpson"
"118","AA","RGF1","RGF5",0,8.84107693718371,-202.449710998171,220.131864872539,1,"ns","Inv_Simpson"
"119","AA","RGF1","RGF6",0,-16.9417723034152,-228.23256023877,194.34901563194,1,"ns","Inv_Simpson"
"120","AA","RGF1","RGF7",0,-82.8169459621674,-294.107733897522,128.473841973188,0.915,"ns","Inv_Simpson"
"121","AA","RGF1B_1L_Matrix","RGF1B_Matrix",0,-26.7771642686691,-238.067952204024,184.513623666686,1,"ns","Inv_Simpson"
"122","AA","RGF1B_1L_Matrix","RGF1B_Water",0,40.8716244585342,-170.419163476821,252.162412393889,1,"ns","Inv_Simpson"
"123","AA","RGF1B_1L_Matrix","RGF2",0,-5.13235520623678,-216.423143141592,206.158432729118,1,"ns","Inv_Simpson"
"124","AA","RGF1B_1L_Matrix","RGF3",0,-54.090869957527,-265.381657892882,157.199917977828,0.996,"ns","Inv_Simpson"
"125","AA","RGF1B_1L_Matrix","RGF4",0,40.8149456418986,-170.475842293456,252.105733577254,1,"ns","Inv_Simpson"
"126","AA","RGF1B_1L_Matrix","RGF5",0,53.7272899018765,-157.563498033479,265.018077837232,0.996,"ns","Inv_Simpson"
"127","AA","RGF1B_1L_Matrix","RGF6",0,27.9444406612776,-183.346347274077,239.235228596633,1,"ns","Inv_Simpson"
"128","AA","RGF1B_1L_Matrix","RGF7",0,-37.9307329974746,-249.22152093283,173.36005493788,1,"ns","Inv_Simpson"
"129","AA","RGF1B_Matrix","RGF1B_Water",0,67.6487887272033,-143.641999208152,278.939576662558,0.977,"ns","Inv_Simpson"
"130","AA","RGF1B_Matrix","RGF2",0,21.6448090624323,-189.645978872923,232.935596997787,1,"ns","Inv_Simpson"
"131","AA","RGF1B_Matrix","RGF3",0,-27.313705688858,-238.604493624213,183.977082246497,1,"ns","Inv_Simpson"
"132","AA","RGF1B_Matrix","RGF4",0,67.5921099105677,-143.698678024787,278.882897845923,0.977,"ns","Inv_Simpson"
"133","AA","RGF1B_Matrix","RGF5",0,80.5044541705456,-130.786333764809,291.795242105901,0.928,"ns","Inv_Simpson"
"134","AA","RGF1B_Matrix","RGF6",0,54.7216049299467,-156.569183005408,266.012392865302,0.996,"ns","Inv_Simpson"
"135","AA","RGF1B_Matrix","RGF7",0,-11.1535687288055,-222.44435666416,200.13721920655,1,"ns","Inv_Simpson"
"136","AA","RGF1B_Water","RGF2",0,-46.003979664771,-257.294767600126,165.286808270584,0.999,"ns","Inv_Simpson"
"137","AA","RGF1B_Water","RGF3",0,-94.9624944160612,-306.253282351416,116.328293519294,0.826,"ns","Inv_Simpson"
"138","AA","RGF1B_Water","RGF4",0,-0.0566788166355536,-211.347466751991,211.234109118719,1,"ns","Inv_Simpson"
"139","AA","RGF1B_Water","RGF5",0,12.8556654433423,-198.435122492013,224.146453378697,1,"ns","Inv_Simpson"
"140","AA","RGF1B_Water","RGF6",0,-12.9271837972566,-224.217971732612,198.363604138098,1,"ns","Inv_Simpson"
"141","AA","RGF1B_Water","RGF7",0,-78.8023574560087,-290.093145391364,132.488430479346,0.937,"ns","Inv_Simpson"
"142","AA","RGF2","RGF3",0,-48.9585147512903,-260.249302686645,162.332273184065,0.998,"ns","Inv_Simpson"
"143","AA","RGF2","RGF4",0,45.9473008481354,-165.34348708722,257.23808878349,0.999,"ns","Inv_Simpson"
"144","AA","RGF2","RGF5",0,58.8596451081133,-152.431142827242,270.150433043468,0.992,"ns","Inv_Simpson"
"145","AA","RGF2","RGF6",0,33.0767958675144,-178.213992067841,244.367583802869,1,"ns","Inv_Simpson"
"146","AA","RGF2","RGF7",0,-32.7983777912378,-244.089165726593,178.492410144117,1,"ns","Inv_Simpson"
"147","AA","RGF3","RGF4",0,94.9058155994257,-116.384972335929,306.196603534781,0.827,"ns","Inv_Simpson"
"148","AA","RGF3","RGF5",0,107.818159859404,-103.472628075951,319.108947794759,0.702,"ns","Inv_Simpson"
"149","AA","RGF3","RGF6",0,82.0353106188046,-129.25547731655,293.32609855416,0.92,"ns","Inv_Simpson"
"150","AA","RGF3","RGF7",0,16.1601369600525,-195.130650975303,227.450924895407,1,"ns","Inv_Simpson"
"151","AA","RGF4","RGF5",0,12.9123442599779,-198.378443675377,224.203132195333,1,"ns","Inv_Simpson"
"152","AA","RGF4","RGF6",0,-12.870504980621,-224.161292915976,198.420282954734,1,"ns","Inv_Simpson"
"153","AA","RGF4","RGF7",0,-78.7456786393732,-290.036466574728,132.545109295982,0.937,"ns","Inv_Simpson"
"154","AA","RGF5","RGF6",0,-25.7828492405989,-237.073637175954,185.507938694756,1,"ns","Inv_Simpson"
"155","AA","RGF5","RGF7",0,-91.6580228993511,-302.948810834706,119.632765036004,0.854,"ns","Inv_Simpson"
"156","AA","RGF6","RGF7",0,-65.8751736587522,-277.165961594107,145.415614276603,0.981,"ns","Inv_Simpson"
"157","AA","Clarified_Outlet","DAF_Sludge",0,0.0733828626885555,-0.0693046847738735,0.216070410150985,0.694,"ns","Pielou_evenness"
"158","AA","Clarified_Outlet","Raw_Water",0,0.166654715334975,0.0239671678725464,0.309342262797404,0.0166,"*","Pielou_evenness"
"159","AA","Clarified_Outlet","RGF1",0,0.208799390043248,0.0661118425808188,0.351486937505677,0.00248,"**","Pielou_evenness"
"160","AA","Clarified_Outlet","RGF1B_1L_Matrix",0,0.187270742505521,0.044583195043092,0.32995828996795,0.00647,"**","Pielou_evenness"
"161","AA","Clarified_Outlet","RGF1B_Matrix",0,0.180283741664391,0.0375961942019622,0.32297128912682,0.00889,"**","Pielou_evenness"
"162","AA","Clarified_Outlet","RGF1B_Water",0,0.178855374938631,0.036167827476202,0.32154292240106,0.00949,"**","Pielou_evenness"
"163","AA","Clarified_Outlet","RGF2",0,0.167854269632645,0.0251667221702164,0.310541817095074,0.0157,"*","Pielou_evenness"
"164","AA","Clarified_Outlet","RGF3",0,0.152104900036575,0.00941735257414605,0.294792447499004,0.0325,"*","Pielou_evenness"
"165","AA","Clarified_Outlet","RGF4",0,0.211215483381423,0.0685279359189941,0.353903030843852,0.00223,"**","Pielou_evenness"
"166","AA","Clarified_Outlet","RGF5",0,0.209059894644405,0.0663723471819757,0.351747442106834,0.00246,"**","Pielou_evenness"
"167","AA","Clarified_Outlet","RGF6",0,0.192795589809572,0.0501080423471427,0.335483137272001,0.00505,"**","Pielou_evenness"
"168","AA","Clarified_Outlet","RGF7",0,0.17674739263932,0.0340598451768911,0.319434940101749,0.0104,"*","Pielou_evenness"
